Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2019,175695,Le Cordon Bleu College of Culinary Arts,Exempt,361 W CHESTNUT ST,,,true,NEAR NORTH SIDE,,,,,,,,,,,,,,,,,,41.89797629,-87.63836984,"(41.89797629, -87.63836984)"
2019,104735,2516 2526 N KEDZIE BLVD,Not Submitted,2516 2526 N KEDZIE BLVD,,0.0,false,LOGAN SQUARE,,,,,,,,,,,,,,,,,,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
2019,158061,Edgewater Medical Center (vacant),Not Submitted,5700 N ASHLAND AVE,,0.0,false,EDGEWATER,,,,,,,,,,,,,,,,,,41.98552836,-87.67026391,"(41.98552836, -87.67026391)"
2019,119799,Lowes Home Improvement,Not Submitted,7971 S CICERO AVE,,0.0,false,ASHBURN,,,,,,,,,,,,,,,,,,41.74665058,-87.73987193,"(41.74665058, -87.73987193)"
2019,251869,Albany Square,Not Submitted,4445 N PULASKI RD,,0.0,false,,,,,,,,,,,,,,,,,,,,,
2019,165819,Washington Park SRO,Not Submitted,5000 5016 S INDIANA AVE,,0.0,false,GRAND BOULEVARD,,,,,,,,,,,,,,,,,,41.80363832,-87.62178136,"(41.80363832, -87.62178136)"
2019,256565,111 S Peoria St,Not Submitted,111 S Peoria St,,0.0,false,,,,,,,,,,,,,,,,,,,,,
2019,146019,Kimball Station,Not Submitted,4730  N KIMBALL AVE,,0.0,false,ALBANY PARK,,,,,,,,,,,,,,,,,,41.97208235,-87.70234945,"(41.97208235, -87.70234945)"
2019,102532,Advocate Trinity Hospital,Submitted,2320 E 93rd St,,3.0,false,CALUMET HEIGHTS,,,,,,,,,,,,,,,,,,41.72673518,-87.56695195,"(41.72673518, -87.56695195)"
2019,173831,YMCA of Metro Chicago,Not Submitted,3333 N MARSHFIELD AVE,,0.0,false,LAKE VIEW,,,,,,,,,,,,,,,,,,41.94246355,-87.66961411,"(41.94246355, -87.66961411)"
2019,175699,6700 S CONSTANCE AVE,Not Submitted,6700  S CONSTANCE AVE,,0.0,false,SOUTH SHORE,,,,,,,,,,,,,,,,,,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
2019,164965,S3-Sinai,Not Submitted,2653 W OGDEN AVE,,0.0,false,NORTH LAWNDALE,,,,,,,,,,,,,,,,,,41.86174002,-87.69294361,"(41.86174002, -87.69294361)"
2019,150324,The Contemporaine,Not Submitted,201 W Grand Ave,,0.0,false,NEAR NORTH SIDE,,,,,,,,,,,,,,,,,,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
